hs_code,cpi_category
17021900,Other
17022022,Other
17022024,Other
17022028,Other
17022040,Food
17023022,Other
17023024,Other
17023028,Other
17023040,Other
17024022,Other
17024024,Other
17024028,Other
17024040,Other
17025000,Other
17026022,Other
17026024,Other
17026028,Other
17026040,Other
17029005,Food
17029010,Food
17029020,Food
17029035,Other
17029040,Other
17029052,Food
17029054,Other
17029058,Other
17029064,Food
17029068,Food
17029090,Food
17031030,Food
17031050,Other
17039030,Food
17039050,Other
17041000,Food
17049010,Other
17049025,Food
17049035,Food
17049052,Food
17049054,Food
17049058,Food
17049064,Food
17049068,Food
17049074,Food
17049078,Food
17049090,Food
18010000,Other
18020000,Other
18031000,Other
18032000,Other
18040000,Transportation
18050000,Food
18061005,Food
18061010,Food
18061015,Food
18061022,Food
18061024,Food
18061028,Food
18061034,Other
18061038,Other
18061043,Food
18061045,Food
18061055,Food
18061065,Food
18061075,Food
18062020,Food
18062022,Food
18062024,Food
18062026,Food
18062028,Food
18062034,Food
18062036,Food
18062038,Food
18062050,Food
18062060,Food
18062067,Food
18062071,Food
18062073,Food
18062075,Food
18062077,Food
18062078,Food
18062079,Food
18062081,Food
18062082,Food
18062083,Food
18062085,Food
18062087,Food
18062089,Food
18062091,Food
18062094,Food
18062095,Food
18062098,Food
18062099,Food
18063100,Other
18063201,Other
18063204,Other
18063206,Food
18063208,Food
18063214,Other
18063216,Food
18063218,Food
18063230,Food
18063255,Other
18063260,Food
18063270,Food
18063280,Food
18063290,Other
18069001,Other
18069005,Food
18069008,Food
18069010,Food
18069015,Other
18069018,Food
18069020,Food
18069025,Food
18069028,Food
18069030,Food
18069035,Other
18069039,Other
18069045,Food
18069049,Food
18069055,Food
18069059,Food
18069090,Other
19011005,Food
19011011,Food
19011016,Food
19011021,Food
19011026,Food
19011029,Food
19011031,Other
19011033,Other
19011036,Other
19011041,Food
19011044,Food
19011049,Other
19011052,Food
19011054,Food
19011056,Food
19011062,Other
19011064,Other
19011066,Other
19011072,Food
19011074,Other
19011076,Food
19011091,Other
19012002,Other
19012005,Food
19012015,Food
19012020,Food
19012025,Other
19012030,Other
19012035,Other
19012040,Other
19012042,Other
19012045,Food
19012050,Food
19012055,Food
19012060,Food
19012065,Other
19012070,Other
19012080,Other
19019010,Other
19019020,Other
19019025,Other
19019028,Food
19019032,Food
19019033,Food
19019034,Food
19019036,Food
19019060,Food
19019061,Food
19019062,Food
19019063,Food
19019064,Food
19019065,Food
19019066,Food
19019067,Food
19019068,Food
19019069,Food
19019071,Food
19019072,Food
19019091,Food
19021120,Food
19021140,Food
19021920,Food
19021940,Food
19022000,Other
19023000,Other
19024000,Other
19030020,Food
19030040,Food
19041000,Food
19042010,Food
19042090,Food
19043000,Food
19049001,Food
19051000,Food
19052000,Food
19053100,Other
19053200,Other
19054000,Food
19059010,Food
19059090,Food
20011000,Other
20019010,Other
20019020,Other
20019025,Other
20019030,Other
20019033,Other
20019034,Other
20019035,Other
20019038,Food
20019042,Other
20019045,Other
20019048,Other
20019050,Other
20019060,Food
20021000,Other
20029040,Other
20029080,Other
20031001,Other
20039010,Other
20039080,Other
20041040,Other
20041080,Other
20049010,Other
20049080,Other
20049085,Food
20051000,Food
20052000,Other
20054000,Other
20055120,Other
20055140,Other
20055900,Other
20056000,Other
20057002,Other
20057004,Other
20057006,Other
20057008,Other
20057012,Other
20057016,Other
20057018,Other
20057023,Other
20057025,Other
20057050,Other
20057060,Other
20057070,Housing
20057075,Other
20057091,Other
20057093,Other
20057097,Other
20058000,Food
20059160,Food
20059197,Food
20059910,Food
20059920,Other
20059930,Other
20059941,Food
20059950,Other
20059955,Food
20059980,Other
20059985,Other
20059997,Food
20060020,Food
20060030,Food
20060040,Food
20060050,Food
20060060,Food
20060070,Food
20060090,Food
20071000,Food
20079110,Food
20079140,Other
20079190,Food
20079905,Other
20079910,Other
20079915,Other
20079920,Other
20079925,Other
20079930,Other
20079935,Other
20079940,Other
20079945,Other
20079948,Other
20079950,Other
20079955,Other
20079960,Other
20079965,Food
20079970,Food
20079975,Food
20081102,Other
20081105,Other
20081115,Other
20081143,Other
20081146,Other
20081161,Other
20081910,Other
20081915,Other
20081920,Other
20081925,Other
20081930,Other
20081940,Other
20081950,Other
20081985,Other
20081990,Other
20082000,Other
20083010,Commodities Services Special
20083020,Other
20083030,Food
20083035,Other
20083037,Food
20083040,Other
20083042,Other
20083046,Other
20083048,Other
20083055,Commodities Services Special
20083060,Other
20083066,Other
20083070,Food
20083080,Other
20083085,Other
20083096,Food
20084000,Other
20085020,Other
20085040,Other
20086000,Other
20087010,Other
20087020,Other
20088000,Other
20089100,Other
20089300,Other
20089710,Food
20089790,Food
20089905,Other
20089910,Other
20089913,Other
20089915,Other
20089918,Other
20089921,Other
20089923,Other
20089925,Other
20089928,Other
20089929,Other
20089930,Other
20089935,Other
20089940,Other
20089945,Other
20089950,Other
20089960,Other
20089961,Other
20089963,Other
20089965,Other
20089970,Other
20089971,Other
20089980,Food
20089991,Food
20091100,Food
20091225,Food
20091245,Food
20091900,Food
20092120,Food
20092140,Food
20092900,Food
20093110,Food
20093120,Food
20093140,Food
20093160,Food
20093910,Food
20093920,Food
20093960,Food
20094120,Food
20094140,Food
20094920,Food
20094940,Food
20095000,Food
20096100,Food
20096900,Food
20097100,Food
20097900,Food
20098100,Food
20098920,Food
20098940,Food
20098965,Food
20098970,Food
20098980,Food
20099020,Food
20099040,Food
2011005,Transportation
2011010,Transportation
2011050,Transportation
2012002,Food
2012004,Food
2012006,Food
2012010,Food
2012030,Food
2012050,Food
2012080,Food
2013002,Food
2013004,Food
2013006,Food
2013010,Food
2013030,Food
2013050,Food
2013080,Food
2021005,Transportation
2021010,Transportation
2021050,Transportation
2022002,Food
2022004,Food
2022006,Food
2022010,Food
2022030,Food
2022050,Food
2022080,Food
2023002,Food
2023004,Food
2023006,Food
2023010,Food
2023030,Food
2023050,Food
2023080,Food
2031100,Transportation
2031210,Other
2031290,Other
2031920,Food
2031940,Food
2032100,Transportation
2032210,Other
2032290,Other
2032920,Food
2032940,Food
2041000,Transportation
2042100,Transportation
2042220,Food
2042240,Food
2042320,Food
2042340,Food
2043000,Transportation
2044100,Transportation
2044220,Food
2044240,Food
2044320,Food
2044340,Food
2045000,Food
2050000,Food
2061000,Other
2062100,Other
2062200,Other
2062900,Other
2063000,Other
2064100,Other
2064900,Other
2068000,Other
2069000,Other
2071100,Other
2071200,Other
2071300,Other
2071400,Other
2072400,Other
2072520,Other
2072540,Other
2072600,Other
2072700,Other
2074100,Other
2074200,Other
2074300,Other
2074400,Other
2074500,Other
2075100,Other
2075200,Other
2075300,Other
2075400,Other
2075500,Other
2076010,Other
2076020,Other
2076030,Other
2076040,Other
2076060,Other
2081000,Food
2083000,Food
2084001,Food
2085000,Food
2086000,Food
2089020,Food
2089025,Other
2089030,Other
2089091,Food
2091000,Food
2099000,Food
2101100,Other
21011121,Food
21011129,Food
21011232,Food
21011234,Food
21011238,Food
21011244,Food
21011248,Food
21011254,Food
21011258,Food
21011290,Food
2101200,Other
21012020,Food
21012032,Food
21012034,Food
21012038,Food
21012044,Food
21012048,Food
21012054,Food
21012058,Food
21012090,Food
21013000,Food
2101900,Food
2102000,Food
21021000,Other
21022020,Other
21022040,Other
21022060,Medical
21023000,Other
21031000,Other
21032020,Other
21032040,Other
21033020,Other
21033040,Other
21039020,Food
21039040,Other
21039072,Other
21039074,Other
21039078,Other
21039080,Other
21039090,Other
21041000,Other
21042010,Food
21042050,Food
21050005,Other
21050010,Other
21050020,Other
21050025,Food
21050030,Food
21050040,Food
21050050,Other
21061000,Other
21069003,Food
21069006,Food
21069009,Food
