,Test R²,Test RMSE,Test MAE,Train R²,Train RMSE,Train MAE
Linear Regression,0.6720672067536988,2.171019864104078,1.4112445735196482,0.6430924015378525,2.2062742378965003,1.4118998930583635
Ridge,0.6726480441714833,2.1690963473490608,1.4108191339941927,0.6428961263153445,2.2068808058847846,1.412483256963006
Lasso,0.672267555695778,2.1703565757769043,1.4070097820895588,0.6424647819717986,2.2082132449023018,1.4096605510847995
Elastic Net,0.6724425482000658,2.1697770682388167,1.408783649872892,0.6426054542740374,2.207778791195173,1.411863449460381
Random Forest,0.7838279923004644,1.7626703571792164,1.1348018838216218,0.8922763573814271,1.2120962624173155,0.8561096993008841
Gradient Boosting,0.8004554433596488,1.6935238436763063,1.1215550072444607,0.8977122807039675,1.1811181532722899,0.8375026130886682
