,R²,RMSE,MAE,Count
All Other Services Goods,0.06399074963620321,3.3181408732612456,2.4707264056734126,333.0
Apparel,0.05546504362400817,2.97778379423535,2.2130919430753533,295.0
Housing,0.048949652483713524,4.864660271340649,3.7238715968130993,696.0
Transportation,0.016053958047882677,4.8595574671769,3.6202600517953685,503.0
Food,-0.0003091471577716387,3.26965470053242,2.2907772869721503,1682.0
Medical,-0.006160034226511568,2.7435042133344023,1.9658123479325103,267.0
