,Test R²,Test RMSE,Test MAE,Train R²,Train RMSE,Train MAE
Linear Regression,0.08602955754126218,3.829110493253363,2.744374425235875,0.09281690468032833,3.837374493852364,2.722840390551943
Ridge,0.08601432440438428,3.8291424029949215,2.7444748358583286,0.09281617200018288,3.837376043466521,2.722824997128489
Lasso,0.08587757405342755,3.8294288500346947,2.744657785786129,0.09273322534883088,3.8375514710962686,2.723022327356618
Elastic Net,0.08586601003937844,3.82945307186085,2.7453837888273998,0.09274405231140281,3.8375285731178215,2.72348641680633
Random Forest,0.09826672235721434,3.803390099743344,2.7188503038444387,0.1039464874886662,3.8137628454427275,2.700130263906285
Gradient Boosting,0.09822165435291641,3.803485143956479,2.7199946596042444,0.10400938337154919,3.813628995071453,2.700454707599847
