Feature,Importance
cat_Transportation,0.42120754619590095
cat_All Other Services Goods,0.21871606238344085
mean_tariff,0.1310524309087632
mean_tariff_lag6,0.07767047132420916
mean_tariff_lag12,0.04917081265326986
cat_Medical,0.04136688164520349
mean_tariff_lag3,0.037827324262471956
cat_Housing,0.0160665184824654
cat_Apparel,0.006677832543618661
cat_Food,0.00024411960065644808
